,Grade,Buyer_Name,Qty,Average,year,month,sale_date,purchased
88,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,5,2025-05-01,0
89,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,6,2025-06-01,0
90,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,7,2025-07-01,0
91,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,8,2025-08-01,0
92,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,9,2025-09-01,0
93,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,10,2025-10-01,0
94,SILVERTIPS,A.M.M. SUBAIR,1.0,24000.0,2025,11,2025-11-01,1
95,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,12,2025-12-01,0
96,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,1,2024-01-01,0
97,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,2,2024-02-01,0
98,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,3,2024-03-01,0
99,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,1.0,35000.0,2024,4,2024-04-01,1
100,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,5,2024-05-01,0
101,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,6,2024-06-01,0
102,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,7,2024-07-01,0
103,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,8,2024-08-01,0
104,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,9,2024-09-01,0
105,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,10,2024-10-01,0
106,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,1.0,34000.0,2024,11,2024-11-01,1
107,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2024,12,2024-12-01,0
108,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,1.0,33000.0,2025,1,2025-01-01,1
109,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,2,2025-02-01,0
110,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,3,2025-03-01,0
111,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,4,2025-04-01,0
112,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,5,2025-05-01,0
113,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,6,2025-06-01,0
114,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,7,2025-07-01,0
115,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,8,2025-08-01,0
116,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,9,2025-09-01,0
117,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,10,2025-10-01,0
118,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,11,2025-11-01,0
119,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2025,12,2025-12-01,0
120,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,2.0,33000.0,2026,1,2026-01-01,1
121,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,2,2026-02-01,0
122,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,3,2026-03-01,0
123,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,4,2026-04-01,0
124,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,5,2026-05-01,0
125,GOLDENTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,6,2026-06-01,0
126,SILVERTIPS,ACRIL HOLDINGS (PVT) LT,3.0,27000.0,2026,1,2026-01-01,1
127,SILVERTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,2,2026-02-01,0
128,SILVERTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,3,2026-03-01,0
129,SILVERTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,4,2026-04-01,0
130,SILVERTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,5,2026-05-01,0
131,SILVERTIPS,ACRIL HOLDINGS (PVT) LT,0.0,0.0,2026,6,2026-06-01,0
132,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,1,2023-01-01,0
133,GOLDENTIPS,ADAM EXPO,1.0,23000.0,2023,2,2023-02-01,1
134,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,3,2023-03-01,0
135,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,4,2023-04-01,0
136,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,5,2023-05-01,0
137,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,6,2023-06-01,0
138,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,7,2023-07-01,0
139,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,8,2023-08-01,0
140,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,9,2023-09-01,0
141,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,10,2023-10-01,0
142,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,11,2023-11-01,0
143,GOLDENTIPS,ADAM EXPO,0.0,0.0,2023,12,2023-12-01,0
144,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,1,2025-01-01,0
145,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,2,2025-02-01,0
146,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,3,2025-03-01,0
147,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,4,2025-04-01,0
148,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,5,2025-05-01,0
149,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,6,2025-06-01,0
150,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,7,2025-07-01,0
151,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,8,2025-08-01,0
152,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,9,2025-09-01,0
153,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,10,2025-10-01,0
154,INNOVATIVE,ADAM EXPO,0.0,0.0,2025,11,2025-11-01,0
155,INNOVATIVE,ADAM EXPO,1.0,25000.0,2025,12,2025-12-01,1
156,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,1,2023-01-01,0
157,SILVERTIPS,ADAM EXPO,3.0,23333.33,2023,2,2023-02-01,1
158,SILVERTIPS,ADAM EXPO,1.0,24000.0,2023,3,2023-03-01,1
159,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,4,2023-04-01,0
160,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,5,2023-05-01,0
161,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,6,2023-06-01,0
162,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,7,2023-07-01,0
163,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,8,2023-08-01,0
164,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,9,2023-09-01,0
165,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,10,2023-10-01,0
166,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,11,2023-11-01,0
167,SILVERTIPS,ADAM EXPO,0.0,0.0,2023,12,2023-12-01,0
168,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,1,2024-01-01,0
169,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,2,2024-02-01,0
170,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,3,2024-03-01,0
171,SILVERTIPS,ADAM EXPO,2.0,32000.0,2024,4,2024-04-01,1
172,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,5,2024-05-01,0
173,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,6,2024-06-01,0
174,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,7,2024-07-01,0
175,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,8,2024-08-01,0
176,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,9,2024-09-01,0
177,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,10,2024-10-01,0
178,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,11,2024-11-01,0
179,SILVERTIPS,ADAM EXPO,0.0,0.0,2024,12,2024-12-01,0
180,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,1,2023-01-01,0
181,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,2,2023-02-01,0
182,GOLDENTIPS,ADAMSON COMPANY,25.0,9000.0,2023,3,2023-03-01,1
183,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,4,2023-04-01,0
184,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,5,2023-05-01,0
185,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,6,2023-06-01,0
186,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,7,2023-07-01,0
187,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,8,2023-08-01,0
188,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,9,2023-09-01,0
189,GOLDENTIPS,ADAMSON COMPANY,2.0,26000.0,2023,10,2023-10-01,1
190,GOLDENTIPS,ADAMSON COMPANY,2.0,25000.0,2023,11,2023-11-01,1
191,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2023,12,2023-12-01,0
192,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,1,2024-01-01,0
193,GOLDENTIPS,ADAMSON COMPANY,1.0,12000.0,2024,2,2024-02-01,1
194,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,3,2024-03-01,0
195,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,4,2024-04-01,0
196,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,5,2024-05-01,0
197,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,6,2024-06-01,0
198,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,7,2024-07-01,0
199,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,8,2024-08-01,0
200,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,9,2024-09-01,0
201,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,10,2024-10-01,0
202,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,11,2024-11-01,0
203,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2024,12,2024-12-01,0
204,GOLDENTIPS,ADAMSON COMPANY,1.0,10000.0,2026,1,2026-01-01,1
205,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2026,2,2026-02-01,0
206,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2026,3,2026-03-01,0
207,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2026,4,2026-04-01,0
208,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2026,5,2026-05-01,0
209,GOLDENTIPS,ADAMSON COMPANY,0.0,0.0,2026,6,2026-06-01,0
210,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,1,2023-01-01,0
211,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,2,2023-02-01,0
212,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,3,2023-03-01,0
213,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,4,2023-04-01,0
214,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,5,2023-05-01,0
215,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,6,2023-06-01,0
216,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,7,2023-07-01,0
217,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,8,2023-08-01,0
218,INNOVATIVE,ADAMSON COMPANY,3.0,14666.67,2023,9,2023-09-01,1
219,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,10,2023-10-01,0
220,INNOVATIVE,ADAMSON COMPANY,5.0,10000.0,2023,11,2023-11-01,1
221,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2023,12,2023-12-01,0
222,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2026,1,2026-01-01,0
223,INNOVATIVE,ADAMSON COMPANY,21.0,2000.0,2026,2,2026-02-01,1
224,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2026,3,2026-03-01,0
225,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2026,4,2026-04-01,0
226,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2026,5,2026-05-01,0
227,INNOVATIVE,ADAMSON COMPANY,0.0,0.0,2026,6,2026-06-01,0
228,SILVERTIPS,ADAMSON COMPANY,15.0,3500.0,2023,1,2023-01-01,1
229,SILVERTIPS,ADAMSON COMPANY,6.0,22500.0,2023,2,2023-02-01,1
230,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2023,3,2023-03-01,0
231,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2023,4,2023-04-01,0
232,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2023,5,2023-05-01,0
233,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2023,6,2023-06-01,0
234,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2023,7,2023-07-01,0
235,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2023,8,2023-08-01,0
236,SILVERTIPS,ADAMSON COMPANY,2.0,21500.0,2023,9,2023-09-01,1
